labels,1 (Tile) -> 1 (Ins),1 (Tile) -> 50 (Ins),10 (Tile) -> 1 (Ins),10 (Tile) -> 50 (Ins)
Mem Arb,9.5,3.8,13.5,4.1
Task Ctrl,2.4,1,0.9,0.3
Parallel For,39.9,18.7,7.5,2.3
Tiles,37.2,71.6,76.3,92.7
