name,e-pw1,e-dw,e-pw2,m-pw1,m-dw,m-pw2,l-pw1,l-dw,l-pw2,m0,m1,m2,total_cycles
pdp-0,4.22,49.51,9.17,7.95,100.0,5.88,3.49,77.64,2.6549.44,61.39,42.65,1.0
pdp-1,3.6,50.63,14.34,7.39,100.0,11.11,3.11,70.78,3.6738.38,40.45,25.25,0.79
pdp-2,4.43,34.57,22.39,10.95,100.0,13.84,4.57,81.33,4.436.71,33.02,20.08,0.75
